# VG;DATA INICIO OP.;TIPO TRUQUE;TIPO RODA;PAD?;PROC. FAB. RODA;DUR. RODA [HB];DATA MED.;KM;CLASSE VIDA ARO;TAPE INI.;TROCA ROD?;POS. ROR.;"ID (""CPF"") PL"
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;345;43606;404231;NOVA;242;NÃO;1R;43606_HPT_0318485_1R
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;347;43606;404231;NOVA;242;NÃO;2R;43606_HPT_0318485_2R
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;376;43606;404231;NOVA;242;NÃO;3R;43606_HPT_0318485_3R
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43606;404231;NOVA;241;NÃO;4R;43606_HPT_0318485_4R
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;340;43606;404231;NOVA;241;NÃO;4L;43606_HPT_0318485_4L
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;375;43606;404231;NOVA;242;NÃO;3L;43606_HPT_0318485_3L
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;349;43606;404231;NOVA;242;NÃO;2L;43606_HPT_0318485_2L
HPT 031848-5;42220;Ride Master;K36;ADAPTER PLUS;FUNDIDA;342;43606;404231;NOVA;242;NÃO;1L;43606_HPT_0318485_1L
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;340;43662;368109;NOVA;239;NÃO;1R;43662_HPT_0317748_1R
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;342;43662;368109;NOVA;238;NÃO;2R;43662_HPT_0317748_2R
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;343;43662;368109;NOVA;239;NÃO;3R;43662_HPT_0317748_3R
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;349;43662;368109;NOVA;239;NÃO;4R;43662_HPT_0317748_4R
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;358;43662;368109;NOVA;239;NÃO;4L;43662_HPT_0317748_4L
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;363;43662;368109;NOVA;239;NÃO;3L;43662_HPT_0317748_3L
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;342;43662;368109;NOVA;238;NÃO;2L;43662_HPT_0317748_2L
HPT 031774-8;42205;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43662;368109;NOVA;239;NÃO;1L;43662_HPT_0317748_1L
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;347;43663;423520;NOVA;241;NÃO;1R;43663_HPT_0318744_1R
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43663;423520;NOVA;241;NÃO;2R;43663_HPT_0318744_2R
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43663;423520;NOVA;241;NÃO;3R;43663_HPT_0318744_3R
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43663;423520;NOVA;241;NÃO;4R;43663_HPT_0318744_4R
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;340;43663;423520;NOVA;241;NÃO;4L;43663_HPT_0318744_4L
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43663;423520;NOVA;241;NÃO;3L;43663_HPT_0318744_3L
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;340;43663;423520;NOVA;241;NÃO;2L;43663_HPT_0318744_2L
HPT 031874-4;42226;Ride Master;K36;ADAPTER PLUS;FUNDIDA;348;43663;423520;NOVA;241;NÃO;1L;43663_HPT_0318744_1L
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;350;43662;404941;NOVA;238;NÃO;1R;43662_HPT_0318850_1R
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;363;43662;404941;NOVA;238;NÃO;2R;43662_HPT_0318850_2R
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;355;43662;404941;NOVA;239;NÃO;3R;43662_HPT_0318850_3R
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43662;404941;NOVA;239;NÃO;4R;43662_HPT_0318850_4R
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;341;43662;404941;NOVA;239;NÃO;4L;43662_HPT_0318850_4L
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;363;43662;404941;NOVA;239;NÃO;3L;43662_HPT_0318850_3L
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;346;43662;404941;NOVA;238;NÃO;2L;43662_HPT_0318850_2L
HPT 031885-0;42228;Ride Master;K36;ADAPTER PLUS;FUNDIDA;342;43662;404941;NOVA;238;NÃO;1L;43662_HPT_0318850_1L
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43595;377318;NOVA;239;NÃO;1R;43595_HPT_0319457_1R
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43595;377318;NOVA;238;NÃO;2R;43595_HPT_0319457_2R
HPT 031945-7;42242;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43595;377318;NOVA;239;NÃO;3R;43595_HPT_0319457_3R
